Principal_Investigator_Name,IDDRC_Funded_Research,Childrens_National_Health_System,George_Washington_University,Center_for_Genetic_Medicine_Research,Center_for_Neuroscience_Research,Center_for_Cancer_&_Immunology_Research,Center_for_Translational_Science,Sheikh_Zayed_Institute_for_Pediatric_Surgical_Innovation,Clinical_and_Translational_Science_Institute_at_Childrens_National,RNA_Sequencing,Exome_Sequencing,Whole_Genome_Sequencing,Microarray,Metagenomics/Microbiome,ChIP_Sequencing,Single_Cell_Sequencing,T-cell_Receptor_Sequencing,Bionano,Institution,CRI_Center,Analysis_Type
Kazue Hashimoto-Torii,No,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,RNA_Sequencing
Catherine Bollard/Michael Keller,No,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,CNH,Cancer,T-cell_Receptor_Sequencing
Jyoti Jaiswal,Yes,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,CNH,Genmed,Single_Cell_Sequencing
Ishibashi,No,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,CNH,Neuroscience,Single_Cell_Sequencing
Nobuyuki Ishibashi,No,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,SZI,RNA_Sequencing
Vittorio Gallo,Yes,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,RNA_Sequencing
Matt Kay / Kate Schunke,No,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,GW,,Microarray
Kate Schunke,No,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,GW,,Microarray
Gallo,No,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Neuroscience,RNA_Sequencing
Brian Rood,No,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,CNH,Cancer,T-cell_Receptor_Sequencing
Susan Knoblach,No,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,Genmed,Microarray
Yi-Wen Chen,No,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,GW,Genmed,RNA_Sequencing
James Novak,No,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,GW,Genmed,RNA_Sequencing
Nikki Posnack,No,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,SZI,Microarray
Kate Schunke,No,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,GW,,ChIP_Sequencing
Michael Hsieh,No,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,CNH,SZI,ChIP_Sequencing
Michael Hsieh,No,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,CNH,SZI,Bionano
Anna Penn,Yes,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,GW,Neuroscience,RNA_Sequencing
Nikki Posnack,No,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,CNH,SZI,Microarray
Susan Knoblach,No,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,CNH,Genmed,Bionano
Lisa Guay-Woodford,No,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,CNH,CTR,Single_Cell_Sequencing
Yi-Wen Chen,No,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,CNH,Genmed,Single_Cell_Sequencing
